"Category of Data","Table","Column","ct_name","code_iaids","meaning","Data Type eADMS","Length eADMS","short_desc","Question_Def","Code meaning","typeofchange","Change_notes"
"eADMS Data","aircraft","acft_reg_cls","ct_acft_reg_cls","NREG","Not Registered","char",4,0000000000000000e+00,"Aircraft Registration Class","Aircraft registration class codes include both the foreign/domestic registration type and the foreign/domestic location of operation at the time of the accident.","Unregistered aircraft. Includes vehicles that do not require registration (i.e., ultralights), as well as aircraft not properly registered.","FieldNoLongerPopulated","Discontinued - With the implementation of eADMS in 2006, this field/variable will no longer be used. However, the data in this field pertaining to previously coded accidents will be retained."
"eADMS Data","aircraft","acft_reg_cls","ct_acft_reg_cls","UNK","Unknown","char",4,0000000000000000e+00,"Aircraft Registration Class","Aircraft registration class codes include both the foreign/domestic registration type and the foreign/domestic location of operation at the time of the accident.","Registration type/status not known","FieldNoLongerPopulated","Discontinued - With the implementation of eADMS in 2006, this field/variable will no longer be used. However, the data in this field pertaining to previously coded accidents will be retained."
"eADMS Data","aircraft","acft_reg_cls","ct_acft_reg_cls","USFN","U.S. Registered/Foreign Soil","char",4,0000000000000000e+00,"Aircraft Registration Class","Aircraft registration class codes include both the foreign/domestic registration type and the foreign/domestic location of operation at the time of the accident.","Includes U.S. registered aircraft operating outside the U.S.","FieldNoLongerPopulated","Discontinued - With the implementation of eADMS in 2006, this field/variable will no longer be used. However, the data in this field pertaining to previously coded accidents will be retained."
"eADMS Data","aircraft","acft_reg_cls","ct_acft_reg_cls","USFO","U.S. Registered/Foreign Oper.","char",4,0000000000000000e+00,"Aircraft Registration Class","Aircraft registration class codes include both the foreign/domestic registration type and the foreign/domestic location of operation at the time of the accident.","Includes aircraft registered in the U.S. but flown by foreign operators. This may include foreign air carriers providing international service from the U.S., as well as individual or corporate owners that maintain a U.S. registration.","FieldNoLongerPopulated","Discontinued - With the implementation of eADMS in 2006, this field/variable will no longer be used. However, the data in this field pertaining to previously coded accidents will be retained."
"eADMS Data","aircraft","acft_reg_cls","ct_acft_reg_cls","USUS","U.S. Registered/U.S. Soil","char",4,0000000000000000e+00,"Aircraft Registration Class","Aircraft registration class codes include both the foreign/domestic registration type and the foreign/domestic location of operation at the time of the accident.","Includes U.S. registered aircraft operating within the U.S. or its territories. Most records in the database  are included in this category.","FieldNoLongerPopulated","Discontinued - With the implementation of eADMS in 2006, this field/variable will no longer be used. However, the data in this field pertaining to previously coded accidents will be retained."
"eADMS Data","aircraft","acft_serial_no",,,,"varchar",2,0000000000000000e+01,"Aircraft Serial Number","The full aircraft serial number, as assigned by the manufacturer or certificator.",,,
"eADMS Data","aircraft","acft_series",,,,"varchar",1,0000000000000000e+01,"Aircraft Series Identifier","This refers to derivative versions of the same model. For example, the Boeing 737-200 and 737-400 series. This variable is not consistently populated throughout the database.",,,
"eADMS Data","aircraft","afm_hrs",,,,"real",,"Airframe  Hours","The total number of operating hours on the aircraft airframe. You must also indicate whether the entered time was measured at the last inspection or at the time of the accident.",,,
"eADMS Data","aircraft","afm_hrs_last_insp",,,,"real",,"Airframe hours since last inspection","The total number of operating hours accumulated on the aircraft airframe since the last inspection.",,,
"eADMS Data","aircraft","afm_hrs_since","ct_afm_hrs_since","ACCI","Time of Accident","char",4,0000000000000000e+00,"Since inspection or accident","Indicate whether the time entered for total airframe hours was measured at the last inspection or at the time of the accident.",,,
"eADMS Data","aircraft","afm_hrs_since","ct_afm_hrs_since","INSP","Last Inspection","char",4,0000000000000000e+00,"Since inspection or accident","Indicate whether the time entered for total airframe hours was measured at the last inspection or at the time of the accident.",,,
"eADMS Data","aircraft","air_medical",,"N","No","char",1,0000000000000000e+00,"Air Medical Flight","Indicate whether the accident aircraft was operating as an Air Medical Flight at the time of the accident. An \"Air Medical Flight\" is defined as an operation for the purpose of carrying medical personnel, patients, or organs.",,,
"eADMS Data","aircraft","air_medical",,"Y","Yes","char",1,0000000000000000e+00,"Air Medical Flight","Indicate whether the accident aircraft was operating as an Air Medical Flight at the time of the accident. An \"Air Medical Flight\" is defined as an operation for the purpose of carrying medical personnel, patients, or organs.",,,
"eADMS Data","aircraft","Aircraft_Key",,,,"int",,"ID's unique aircraft in collisions","The aircraft key variable is used to distinguish between individual aircraft in the event of an occurrence involving more than one aircraft. For example. if two aircraft collide, they will be assigned Ids of 1 and 2.",,,
"eADMS Data","aircraft","homebuilt",,"U","Unknown","char",3,0000000000000000e+00,"Aircraft is a homebuilt (Y/N).","Indicate whether the involved aircraft was certified with a Special Airworthiness Certificate (FAA Form 8130-7), in the experimental category as an amateur-built aircraft.",,,
"eADMS Data","aircraft","homebuilt",,"Y","Yes","char",3,0000000000000000e+00,"Aircraft is a homebuilt (Y/N).","Indicate whether the involved aircraft was certified with a Special Airworthiness Certificate (FAA Form 8130-7), in the experimental category as an amateur-built aircraft.",,,
"eADMS Data","aircraft","cc_seats","ct_cc_seats",,"Cabin Crew Seats","int",,"Cabin Crew Seats","Refers to the number of aircraft seats by type.",,"FieldNew","New - With the implementation of eADMS in 2006 this field/variable will be added to provide additional detail. Previously coded accidents will not be recoded to reflect this change."
"eADMS Data","aircraft","cert_max_gr_wt",,,,"int",,"Certified Max Gross Weight","The actual certificated max gross weight for the aircraft involved in the occurrence. This should be the same as the maximum gross weight indicated on the aircraft weight and balance. Maximum gross weight includes the weight of the aircraft, all installed equipment, fuel, passengers, cargo, and baggage.",,,
"eADMS Data","aircraft","certs_held",,"N","None","char",1,0000000000000000e+00,"Owner has at least one certificate","Indicate whether the operator holds a commercial operating certificate, an air taxi operating certificate, or an air carrier operating certificate",,,
"eADMS Data","aircraft","certs_held",,"Y","Yes - certificate holder","char",1,0000000000000000e+00,"Owner has at least one certificate","Indicate whether the operator holds a commercial operating certificate, an air taxi operating certificate, or an air carrier operating certificate.",,,
"eADMS Data","aircraft","damage","ct_damage","DEST","Destroyed","char",4,0000000000000000e+00,"Damage","Indicate the severity of damage to the accident aircraft. For the purposes of this variable, aircraft damage categories are defined in 49 CFR 830.2.",,,
"eADMS Data","aircraft","damage","ct_damage","MINR","Minor","char",4,0000000000000000e+00,"Damage","Indicate the severity of damage to the accident aircraft. For the purposes of this variable, aircraft damage categories are defined in 49 CFR 830.2.",,,
"eADMS Data","aircraft","damage","ct_damage","NONE","None","char",4,0000000000000000e+00,"Damage","Indicate the severity of damage to the accident aircraft. For the purposes of this variable, aircraft damage categories are defined in 49 CFR 830.2.",,,
"eADMS Data","aircraft","damage","ct_damage","SUBS","Substantial","char",4,0000000000000000e+00,"Damage","Indicate the severity of damage to the accident aircraft. For the purposes of this variable, aircraft damage categories are defined in 49 CFR 830.2.",,,
"eADMS Data","aircraft","damage","ct_damage","UNK","Unknown","char",4,0000000000000000e+00,"Damage","Indicate the severity of damage to the accident aircraft. For the purposes of this variable, aircraft damage categories are defined in 49 CFR 830.2.",,,
"eADMS Data","aircraft","date_last_insp",,,,"datetime",,"Date of Last Inspection","The calendar date of the most recent aircraft inspection in the format MM/DD/YYYY.",,,
"eADMS Data","aircraft","dest_apt_id",,,,"char",4,0000000000000000e+00,"Destination Airport Code","The identification code for the intended destination airport. A limited airport identifier lookup tool is available from the IATA at http://www1.iata.org/codes/index.htm.",,,
"eADMS Data","aircraft","dest_city",,,,"varchar",1,5000000000000000e+01,"Destination City","Indicate the city address of the involved aircraft's intended destination.",,,
"eADMS Data","aircraft","dest_country",,,,"char",3,0000000000000000e+00,"Destination Country","Indicate the country address of the involved aircraft's intended destination.",,,
"eADMS Data","aircraft","dest_same_local","ct_dest_same_local","LOCL","dest & departure same, accident can occur anywhere","char",4,0000000000000000e+00,"Destination Same as Local Flt","Indicate whether the accident flight was intended as a local flight, returning to the departure airport with no intermediate stops. Examples of local flights might include sightseeing, flight instruction, pleasure, or proficiency flights.",,,
"eADMS Data","aircraft","dest_same_local","ct_dest_same_local","SAME","crash at destination city","char",4,0000000000000000e+00,"Destination Same as Local Flt","Indicate whether the accident location was the intended destination of the flight.",,,
"eADMS Data","aircraft","dest_state",,,,"char",2,0000000000000000e+00,"Destination State","The state address of the involved aircraft's intended destination.",,,
"eADMS Data","aircraft","dprt_apt_id",,,,"char",4,0000000000000000e+00,"Departure Airport Code.","The identification code for the involved aircraft's departure airport. A limited airport identifier lookup tool is available from the IATA at http://www1.iata.org/codes/index.htm.",,,
"eADMS Data","aircraft","dprt_city",,,,"varchar",1,5000000000000000e+01,"Departure City","The city address of the involved aircraft's last departure point prior to the event.",,,
"eADMS Data","aircraft","dprt_country",,,,"char",3,0000000000000000e+00,"Departure Country.","The country address of the involved aircraft's last departure point prior to the event.",,,
"eADMS Data","aircraft","dprt_pt_same_ev",,"N","No","char",1,0000000000000000e+00,"Departure Point Same as Event","Indicate whether the event took place at the point of departure.",,,
"eADMS Data","aircraft","dprt_pt_same_ev",,"Y","Yes","char",1,0000000000000000e+00,"Departure Point Same as Event","Indicate whether the event took place at the point of departure.",,,
"eADMS Data","aircraft","dprt_state",,,,"char",2,0000000000000000e+00,"Departure State","The state address of the involved aircraft's last departure point prior to the event.",,,
"eADMS Data","aircraft","dprt_time",,,,"smallint",,"Departure Time","The time of the involved aircraft's most recent departure prior to the event. The local time of departure is in 4-digit, 24-hour format.",,,
"eADMS Data","aircraft","dprt_timezn",,,,"char",3,0000000000000000e+00,"Departure Time Zone","The time zone corresponding to the indicated time of departure",,,
"eADMS Data","aircraft","elt_aided_loc_ev",,"N","No","char",1,0000000000000000e+00,"ELT Aided Location of Event Site","If the accident aircraft had an Emergency Locator Transmitter (ELT) installed, and the transmitter was activated as a result of the accident, indicate whether the transmitted signal aided in locating the accident aircraft.",,,
"eADMS Data","aircraft","elt_aided_loc_ev",,"U","Unknown","char",1,0000000000000000e+00,"ELT Aided Location of Event Site","If the accident aircraft had an Emergency Locator Transmitter (ELT) installed, and the transmitter was activated as a result of the accident, indicate whether the transmitted signal aided in locating the accident aircraft.",,,
"eADMS Data","aircraft","elt_aided_loc_ev",,"Y","Yes","char",1,0000000000000000e+00,"ELT Aided Location of Event Site","If the accident aircraft had an Emergency Locator Transmitter (ELT) installed, and the transmitter was activated as a result of the accident, indicate whether the transmitted signal aided in locating the accident aircraft.",,,
"eADMS Data","aircraft","elt_install",,"N","No","char",1,0000000000000000e+00,"ELT Installed","Indicate whether the accident aircraft had an Emergency Locator Transmitter (ELT) installed. The ELT is a transmitter that contains an inertia switch that activates in the event of an impact. This signal can then be traced to identify a downed aircraft. With some exceptions, US-registered airplanes are required to have an ELT installed.  Refer to 14 CFR 91.207 for regulations regarding ELT requirements and inspections.",,,
"eADMS Data","aircraft","elt_install",,"U","Unknown","char",1,0000000000000000e+00,"ELT Installed","Indicate whether the accident aircraft had an Emergency Locator Transmitter (ELT) installed. The ELT is a transmitter that contains an inertia switch that activates in the event of an impact. This signal can then be traced to identify a downed aircraft. With some exceptions, US-registered airplanes are required to have an ELT installed.  Refer to 14 CFR 91.207 for regulations regarding ELT requirements and inspections.",,,
"eADMS Data","aircraft","elt_install",,"Y","Yes","char",1,0000000000000000e+00,"ELT Installed","Indicate whether the accident aircraft had an Emergency Locator Transmitter (ELT) installed. The ELT is a transmitter that contains an inertia switch that activates in the event of an impact. This signal can then be traced to identify a downed aircraft. With some exceptions, US-registered airplanes are required to have an ELT installed.  Refer to 14 CFR 91.207 for regulations regarding ELT requirements and inspections.",,,
"eADMS Data","aircraft","elt_oper",,"N","No","char",1,0000000000000000e+00,"ELT Activated","If the accident aircraft had an Emergency Locator Transmitter (ELT) installed, indicate whether the transmitter was activated as a result of the accident. The ELT is a transmitter that contains an inertia switch that activates in the event of an impact. The transmitted signal can then be used to locate a downed aircraft.",,,
"eADMS Data","aircraft","elt_oper",,"U","Unknown","char",1,0000000000000000e+00,"ELT Activated","If the accident aircraft had an Emergency Locator Transmitter (ELT) installed, indicate whether the transmitter was activated as a result of the accident. The ELT is a transmitter that contains an inertia switch that activates in the event of an impact. The transmitted signal can then be used to locate a downed aircraft.",,,
"eADMS Data","aircraft","elt_oper",,"Y","Yes","char",1,0000000000000000e+00,"ELT Activated","If the accident aircraft had an Emergency Locator Transmitter (ELT) installed, indicate whether the transmitter was activated as a result of the accident. The ELT is a transmitter that contains an inertia switch that activates in the event of an impact. The transmitted signal can then be used to locate a downed aircraft.",,,
"eADMS Data","aircraft","elt_type","ct_elt_type","C126","C126","char",4,0000000000000000e+00,"ELT Type","The elt_type field is used to inicate the FAA Technical Service Order (TSO) an aircraft Emergency Locator Transmitter was designed under.","Emergency Locator Transmitter (ELT) built to meet FAA Technical Service Order (TSO) C126","FieldNew","New - With the implementation of eADMS in 2006, this field and variables were added to identify the type of emergency locator transmitter (ELT) installed in the accident aircraft."
"eADMS Data","aircraft","lchg_date",,,,"datetime",,"Date of most recent change to record",,,,
"eADMS Data","aircraft","lchg_userid",,,,"varchar",1,8000000000000000e+01,"User who most recently changed record",,,,
"eADMS Data","aircraft","med_type_flight","ct_air_med","DISC","Discretionary","varchar",1,5000000000000000e+01,"Medical Flight","If the involved aircraft was operating as a medical flight, indicate the type of medical service it was providing.",,,
"eADMS Data","aircraft","med_type_flight","ct_air_med","MEDE","Medical Emergency","varchar",1,5000000000000000e+01,"Medical Flight","If the involved aircraft was operating as a medical flight, indicate the type of medical service it was providing.",,,
"eADMS Data","aircraft","elt_type","ct_elt_type","C91","C91","char",4,0000000000000000e+00,"ELT Type","The elt_type field is used to inicate the FAA Technical Service Order (TSO) an aircraft Emergency Locator Transmitter was designed under.","Emergency Locator Transmitter (ELT) built to meet FAA Technical Service Order (TSO) C91","FieldNew","New - With the implementation of eADMS in 2006, this field and variables were added to identify the type of emergency locator transmitter (ELT) installed in the accident aircraft."
"eADMS Data","aircraft","elt_type","ct_elt_type","C91A","C91-A","char",4,0000000000000000e+00,"ELT Type","The elt_type field is used to inicate the FAA Technical Service Order (TSO) an aircraft Emergency Locator Transmitter was designed under.","Emergency Locator Transmitter (ELT) built to meet FAA Technical Service Order (TSO) C91a","FieldNew","New - With the implementation of eADMS in 2006, this field and variables were added to identify the type of emergency locator transmitter (ELT) installed in the accident aircraft."
"eADMS Data","aircraft","elt_type","ct_elt_type","UNK","Unknown","char",4,0000000000000000e+00,"ELT Type","The elt_type field is used to inicate the FAA Technical Service Order (TSO) an aircraft Emergency Locator Transmitter was designed under.","Emergency Locator Transmitter (ELT) of unknown type","FieldNew","New - With the implementation of eADMS in 2006, this field and variables were added to identify the type of emergency locator transmitter (ELT) installed in the accident aircraft."
"eADMS Data","aircraft","ev_id",,,,"char",1,4000000000000000e+01,"Unique Identification for Each Event","Each event is assigned a unique 10- or 11- digit alphanumeric code in the database. This code, used in conjunction with the aircraft_key variable, is used to reference all database records. All database queries using a relational database (e.g., MS Access) should link tables using the ev_id variable.",,,
"eADMS Data","aircraft","evacuation",,"N","No","char",1,0000000000000000e+00,"Evacuation occurred","Indicate whether an emergency evacuation was performed. \"Emergency Evacuation\" is any exit from the aircraft in which an emergency egress system is involved. This may also include egress through the main cabin door due to an emergency.",,,
"eADMS Data","aircraft","evacuation",,"Y","Yes","char",1,0000000000000000e+00,"Evacuation occurred","Indicate whether an emergency evacuation was performed. \"Emergency Evacuation\" is any exit from the aircraft in which an emergency egress system is involved. This may also include egress through the main cabin door due to an emergency.",,,
"eADMS Data","aircraft","far_part","ct_fars","091","Part 91: General Aviation","char",4,0000000000000000e+00,"Federal Aviation Reg. Part","The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.",,,
"eADMS Data","aircraft","far_part","ct_fars","103","Part 103: Ultralight","char",4,0000000000000000e+00,"Federal Aviation Reg. Part","The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.",,,
"eADMS Data","aircraft","far_part","ct_fars","105","Part 105: Parachute Jumping","char",4,0000000000000000e+00,"Federal Aviation Reg. Part","The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.",,,
"eADMS Data","aircraft","far_part","ct_fars","121","Part 121: Air Carrier","char",4,0000000000000000e+00,"Federal Aviation Reg. Part","The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.",,,
"eADMS Data","aircraft","far_part","ct_fars","125","Part 125: 20+ Pax,6000+ lbs","char",4,0000000000000000e+00,"Federal Aviation Reg. Part","The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.",,,
"eADMS Data","aircraft","far_part","ct_fars","127","Part 127: Sched AirCar w/Heli.","char",4,0000000000000000e+00,"Federal Aviation Reg. Part","The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.",,,
"eADMS Data","aircraft","far_part","ct_fars","129","Part 129: Foreign","char",4,0000000000000000e+00,"Federal Aviation Reg. Part","The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.",,,
"eADMS Data","aircraft","far_part","ct_fars","133","Part 133: Rotorcraft Ext. Load","char",4,0000000000000000e+00,"Federal Aviation Reg. Part","The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.",,,
"eADMS Data","aircraft","far_part","ct_fars","135","Part 135: Air Taxi & Commuter","char",4,0000000000000000e+00,"Federal Aviation Reg. Part","The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.",,,
"eADMS Data","aircraft","far_part","ct_fars","137","Part 137: Agricultural","char",4,0000000000000000e+00,"Federal Aviation Reg. Part","The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.",,,
"eADMS Data","aircraft","far_part","ct_fars","141","Part 141: Pilot Schools","char",4,0000000000000000e+00,"Federal Aviation Reg. Part","The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.",,,
"eADMS Data","aircraft","far_part","ct_fars","091F","Part 91F: Special Flt Ops.","char",4,0000000000000000e+00,"Federal Aviation Reg. Part","The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.","Part 91F covers special flight operations. Examples include operations such as aerobatics and glider tow.","ChoiceDrop","Discontinued - With the implementation of eADMS in 2006, this field/variable will no longer be used. However, the data in this field pertaining to previously coded accidents will be retained."
"eADMS Data","aircraft","far_part","ct_fars","091K","Part 91 Subpart K: Fractional","char",4,0000000000000000e+00,"Federal Aviation Reg. Part","The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.","14 CFR Part 91 K (effective Dec. 2004) prescribes regulations governing managed fractional ownerships","ChoiceAdd","New - With the implementation of eADMS in 2006, these variables were added to specify the type of Public Use operation the accident aircraft was involved engaged in at the time of the accident. The change in reporting of this variable corresponds to a cha"
"eADMS Data","aircraft","far_part","ct_fars","ARMF","Armed Forces","char",4,0000000000000000e+00,"Federal Aviation Reg. Part","The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.",,,
"eADMS Data","aircraft","far_part","ct_fars","NUSC","Non-U.S., Commercial","char",4,0000000000000000e+00,"Federal Aviation Reg. Part","The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.",,,
"eADMS Data","aircraft","far_part","ct_fars","NUSN","Non-U.S., Non-Commercial","char",4,0000000000000000e+00,"Federal Aviation Reg. Part","The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.",,,
"eADMS Data","aircraft","far_part","ct_fars","PUBF","Public Use - Federal","char",4,0000000000000000e+00,"Federal Aviation Reg. Part","The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.","Refers to Public Use operations conducted under the authority of the federal government. \"Public Use\" refers to certain government aircraft operations, including law-enforcement, low-level observation, aerial application, firefighting, search and rescue,","ChoiceAdd","New - With the implementation of eADMS in 2006, these variables were added to specify the type of Public Use operation the accident aircraft was involved engaged in at the time of the accident. The change in reporting of this variable corresponds to a cha"
